date,state,fips,cases,deaths,new cases,seven_day_avg
3/6/2020,Hawaii,15,1,0,1,1
3/7/2020,Hawaii,15,1,0,0,0.5
3/8/2020,Hawaii,15,2,0,1,0.67
3/9/2020,Hawaii,15,2,0,0,0.5
3/10/2020,Hawaii,15,2,0,0,0.4
3/11/2020,Hawaii,15,2,0,0,0.33
3/12/2020,Hawaii,15,2,0,0,0.29
3/13/2020,Hawaii,15,2,0,0,0.14
3/14/2020,Hawaii,15,4,0,2,0.43
3/15/2020,Hawaii,15,7,0,3,0.71
3/16/2020,Hawaii,15,10,0,3,1.14
3/17/2020,Hawaii,15,14,0,4,1.71
3/18/2020,Hawaii,15,16,0,2,2
3/19/2020,Hawaii,15,26,0,10,3.43
3/20/2020,Hawaii,15,37,0,11,5
3/21/2020,Hawaii,15,48,0,11,6.29
3/22/2020,Hawaii,15,56,0,8,7
3/23/2020,Hawaii,15,77,0,21,9.57
3/24/2020,Hawaii,15,90,0,13,10.86
3/25/2020,Hawaii,15,95,0,5,11.29
3/26/2020,Hawaii,15,106,0,11,11.43
3/27/2020,Hawaii,15,120,0,14,11.86
3/28/2020,Hawaii,15,151,0,31,14.71
3/29/2020,Hawaii,15,175,0,24,17
3/30/2020,Hawaii,15,204,0,29,18.14
3/31/2020,Hawaii,15,224,1,20,19.14
4/1/2020,Hawaii,15,258,1,34,23.29
4/2/2020,Hawaii,15,283,2,25,25.29
4/3/2020,Hawaii,15,317,3,34,28.14
4/4/2020,Hawaii,15,349,3,32,28.29
4/5/2020,Hawaii,15,369,4,20,27.71
4/6/2020,Hawaii,15,385,5,16,25.86
4/7/2020,Hawaii,15,408,5,23,26.29
4/8/2020,Hawaii,15,433,5,25,25
4/9/2020,Hawaii,15,440,6,7,22.43
4/10/2020,Hawaii,15,463,8,23,20.86
4/11/2020,Hawaii,15,484,8,21,19.29
4/12/2020,Hawaii,15,497,9,13,18.29
4/13/2020,Hawaii,15,502,9,5,16.71
4/14/2020,Hawaii,15,511,9,9,14.71
4/15/2020,Hawaii,15,524,9,13,13
4/16/2020,Hawaii,15,535,9,11,13.57
4/17/2020,Hawaii,15,547,9,12,12
4/18/2020,Hawaii,15,568,9,21,12
4/19/2020,Hawaii,15,574,10,6,11
4/20/2020,Hawaii,15,578,10,4,10.86
4/21/2020,Hawaii,15,580,12,2,9.86
4/22/2020,Hawaii,15,586,12,6,8.86
4/23/2020,Hawaii,15,590,12,4,7.86
4/24/2020,Hawaii,15,595,13,5,6.86
4/25/2020,Hawaii,15,597,14,2,4.14
4/26/2020,Hawaii,15,599,14,2,3.57
4/27/2020,Hawaii,15,600,16,1,3.14
4/28/2020,Hawaii,15,602,16,2,3.14
4/29/2020,Hawaii,15,605,16,3,2.71
4/30/2020,Hawaii,15,609,16,4,2.71
5/1/2020,Hawaii,15,610,16,1,2.14
5/2/2020,Hawaii,15,611,16,1,2
5/3/2020,Hawaii,15,611,17,0,1.71
5/4/2020,Hawaii,15,612,17,1,1.71
5/5/2020,Hawaii,15,615,17,3,1.86
5/6/2020,Hawaii,15,616,17,1,1.57
5/7/2020,Hawaii,15,619,17,3,1.43
5/8/2020,Hawaii,15,619,17,0,1.29
5/9/2020,Hawaii,15,620,17,1,1.29
5/10/2020,Hawaii,15,621,17,1,1.43
5/11/2020,Hawaii,15,623,17,2,1.57
5/12/2020,Hawaii,15,624,17,1,1.29
5/13/2020,Hawaii,15,627,17,3,1.57
5/14/2020,Hawaii,15,627,17,0,1.14
5/15/2020,Hawaii,15,628,17,1,1.29
5/16/2020,Hawaii,15,629,17,1,1.29
5/17/2020,Hawaii,15,630,17,1,1.29
5/18/2020,Hawaii,15,630,17,0,1
5/19/2020,Hawaii,15,631,17,1,1
5/20/2020,Hawaii,15,633,17,2,0.86
5/21/2020,Hawaii,15,637,17,4,1.43
5/22/2020,Hawaii,15,632,17,-5,0.57
5/23/2020,Hawaii,15,633,17,1,0.57
5/24/2020,Hawaii,15,633,17,0,0.43
5/25/2020,Hawaii,15,633,17,0,0.43
5/26/2020,Hawaii,15,633,17,0,0.29
5/27/2020,Hawaii,15,634,17,1,0.14
5/28/2020,Hawaii,15,637,17,3,0
5/29/2020,Hawaii,15,639,17,2,1
5/30/2020,Hawaii,15,641,17,2,1.14
5/31/2020,Hawaii,15,642,17,1,1.29
6/1/2020,Hawaii,15,642,17,0,1.29
6/2/2020,Hawaii,15,643,17,1,1.43
6/3/2020,Hawaii,15,643,17,0,1.29
6/4/2020,Hawaii,15,644,17,1,1
6/5/2020,Hawaii,15,653,17,9,2
6/6/2020,Hawaii,15,661,17,8,2.86
6/7/2020,Hawaii,15,663,17,2,3
6/8/2020,Hawaii,15,664,17,1,3.14
6/9/2020,Hawaii,15,670,17,6,3.86
6/10/2020,Hawaii,15,673,17,3,4.29
6/11/2020,Hawaii,15,680,17,7,5.14
6/12/2020,Hawaii,15,694,17,14,5.86
6/13/2020,Hawaii,15,711,17,17,7.14
6/14/2020,Hawaii,15,716,17,5,7.57
6/15/2020,Hawaii,15,724,17,8,8.57
6/16/2020,Hawaii,15,728,17,4,8.29
6/17/2020,Hawaii,15,732,17,4,8.43
6/18/2020,Hawaii,15,750,17,18,10
6/19/2020,Hawaii,15,777,17,27,11.86
6/20/2020,Hawaii,15,791,17,14,11.43
6/21/2020,Hawaii,15,802,17,11,12.29
6/22/2020,Hawaii,15,804,17,2,11.43
6/23/2020,Hawaii,15,807,17,3,11.29
6/24/2020,Hawaii,15,821,17,14,12.71
6/25/2020,Hawaii,15,836,17,15,12.29
6/26/2020,Hawaii,15,850,17,14,10.43
6/27/2020,Hawaii,15,856,18,6,9.29
6/28/2020,Hawaii,15,883,18,27,11.57
6/29/2020,Hawaii,15,884,18,1,11.43
6/30/2020,Hawaii,15,901,18,17,13.43
7/1/2020,Hawaii,15,909,18,8,12.57
7/2/2020,Hawaii,15,929,18,20,13.29
7/3/2020,Hawaii,15,957,19,28,15.29
7/4/2020,Hawaii,15,981,19,24,17.86
7/5/2020,Hawaii,15,1005,19,24,17.43
7/6/2020,Hawaii,15,1012,19,7,18.29
7/7/2020,Hawaii,15,1053,19,41,21.71
7/8/2020,Hawaii,15,1076,19,23,23.86
7/9/2020,Hawaii,15,1112,19,36,26.14
7/10/2020,Hawaii,15,1139,19,27,26
